Year,State,Number of CoCs,Total_Homelessness,Sheltered_Homeless,Unsheltered_Homeless
2011,MI,21,"13,185","5,412","2,321"
2011,MN,10,"7,495","3,504",928
2011,MO,8,"8,989","3,523","2,271"
2011,MP,0,,,
2011,MS,3,"2,306",429,"1,250"
2011,MT,1,"1,768",708,552
2011,NC,12,"12,896","5,175","3,651"
2011,ND,1,603,415,43
2011,NE,3,"3,548","1,623",507
2011,NH,3,"1,469",582,310
2011,NJ,19,"14,137","8,110","1,307"
2011,NM,2,"3,601","1,693",848
2011,NV,3,"9,150","1,436","4,605"
2011,NY,32,"63,445","49,471","3,667"
2011,OH,9,"13,030","5,997","1,806"
2011,OK,8,"4,625","2,062","1,637"
2011,OR,7,"17,254","2,555","10,242"
2011,PA,18,"15,096","7,387","1,060"
2011,PR,2,"2,900",330,"1,866"
2011,RI,1,"1,070",680,31
2011,SC,4,"5,093","1,554","2,139"
2011,SD,1,826,371,64
2011,TN,10,"9,113","3,007","3,198"
2011,TX,16,"36,911","10,027","17,939"
2011,UT,3,"3,130","1,506",443
2011,VA,20,"8,816","4,395","1,430"
2011,VI,1,532,37,378
2011,VT,2,"1,144",579,123
2011,WA,7,"20,439","6,047","5,364"
2011,WI,4,"5,785","2,644",430
2011,WV,4,"2,211",923,806
2011,WY,1,"1,038",127,843
2010,AK,2,"1,863","1,013",192
2010,AL,8,"6,046","1,428","2,155"
2010,AR,5,"2,762",668,"1,034"
2010,AS,0,,,
2010,AZ,3,"13,711","3,503","6,497"
2010,CA,43,"123,480","23,701","72,581"
2010,CO,3,"15,482","4,895","6,451"
2010,CT,10,"4,316","2,314",499
2010,DC,1,"6,539","3,584",430
2010,DE,1,982,481,52
2010,FL,28,"57,551","10,242","35,734"
2010,GA,7,"19,836","4,303","11,090"
2010,GU,1,"1,635",56,"1,453"
2010,HI,2,"5,834",994,"2,299"
2010,IA,3,"3,014","1,062",111
2010,ID,2,"2,346",796,782
2010,IL,21,"14,395","4,981","2,187"
2010,IN,3,"6,452","2,707","1,219"
2010,KS,5,"2,024","1,179",196
2010,KY,3,"6,623","2,740","1,024"
2010,LA,9,"12,482","1,617","8,386"
2010,MA,20,"16,646","11,451","1,051"
2010,MD,16,"10,845","3,511","4,330"
2010,ME,3,"2,379",854,28
2010,MI,21,"13,058","5,186","2,839"
2010,MN,11,"7,869","3,360","1,139"
2010,MO,8,"8,122","3,363","1,786"
2010,MP,0,,,
2010,MS,3,"2,743",578,"1,562"
2010,MT,1,"1,615",674,447
2010,NC,12,"12,191","4,979","3,018"
2010,ND,1,799,461,31
2010,NE,7,"3,877","1,765",522
2010,NH,3,"1,574",729,237
2010,NJ,20,"13,737","7,878","1,654"
2010,NM,2,"3,475",985,"1,367"
2010,NV,3,"11,205","1,381","3,357"
2010,NY,32,"65,606","50,469","4,139"
2010,OH,9,"12,569","6,190","1,840"
2010,OK,8,"5,229","2,350","1,914"
2010,OR,8,"19,492","2,446","12,261"
2010,PA,17,"14,516","6,878","1,098"
2010,PR,2,"4,149",548,"2,745"
2010,RI,1,"1,282",761,76
2010,SC,4,"4,473","1,577","1,437"
2010,SD,1,731,371,64
2010,TN,10,"10,276","4,372","3,277"
2010,TX,17,"35,121","10,577","15,930"
2010,UT,3,"3,284","1,448",562
2010,VA,22,"9,080","4,510","1,641"
2010,VI,1,487,33,395
2010,VT,2,"1,220",611,142
2010,WA,7,"22,878","6,043","6,389"
2010,WI,4,"6,333","2,680","1,080"
2010,WV,4,"2,264",908,740
2010,WY,1,579,264,64
2009,AK,2,"1,992","1,009",327
2009,AL,8,"6,080","1,419","2,167"
2009,AR,6,"2,852",652,"1,122"
2009,AS,0,,,
2009,AZ,3,"14,721","4,020","6,355"
2009,CA,43,"123,678","23,081","72,901"
2009,CO,3,"15,268","4,895","6,237"
2009,CT,12,"4,605","2,542",502
2009,DC,1,"6,228","3,315",321
2009,DE,1,"1,130",583,47
2009,FL,28,"55,599","10,491","33,732"
2009,GA,7,"20,360","4,819","10,941"
2009,GU,1,"1,088",67,906
2009,HI,2,"5,782","1,050","2,514"
2009,IA,3,"3,380","1,180",159
2009,ID,2,"1,939",631,462
2009,IL,21,"14,055","5,066","2,204"
2009,IN,3,"6,984","3,249","1,778"
2009,KS,5,"1,892","1,116",196
2009,KY,3,"5,999","2,645",700
2009,LA,9,"12,504","1,618","8,386"
2009,MA,20,"15,482","9,359","1,006"
2009,MD,16,"11,698","4,205","4,252"
2009,ME,3,"2,444",843,38
2009,MI,22,"14,005","5,725","2,707"
2009,MN,11,"7,718","3,479",946
2009,MO,8,"6,959","2,894","1,490"
2009,MP,0,,,
2009,MS,3,"2,797",524,"1,576"
2009,MT,1,"1,196",404,363
2009,NC,12,"12,918","4,873","4,445"
2009,ND,1,773,487,8
2009,NE,7,"3,718","1,593",639
2009,NH,3,"1,645",892,239
2009,NJ,20,"13,169","7,602","1,298"
2009,NM,2,"3,475",985,"1,367"
2009,NV,3,"11,089","1,311","3,297"
2009,NY,32,"61,067","46,894","3,613"
2009,OH,9,"12,700","6,222","1,771"
2009,OK,8,"4,838","2,316","1,531"
2009,OR,8,"17,309","2,715","9,867"
2009,PA,17,"15,096","6,954","1,277"
2009,PR,2,"4,070",551,"2,745"
2009,RI,1,"1,607",819,51
2009,SC,5,"4,473","1,577","1,437"
2009,SD,1,731,371,64
2009,TN,10,"10,532","4,468","3,399"
2009,TX,18,"36,761","12,672","15,103"
2009,UT,3,"3,795","2,080",255
2009,VA,22,"8,852","4,095","1,568"
2009,VI,1,471,40,395
2009,VT,2,"1,214",595,157
2009,WA,7,"22,782","6,714","6,545"
2009,WI,4,"6,525","2,789","1,060"
2009,WV,4,"1,667",793,389
2009,WY,1,515,185,64
2008,AK,2,"1,646",847,194
2008,AL,8,"5,387","1,534","1,544"
2008,AR,6,"3,255","1,048","1,235"
2008,AS,0,,,
2008,AZ,3,"12,488","3,104","5,518"
2008,CA,42,"136,531","22,917","89,566"
2008,CO,3,"14,747","3,492","7,870"
2008,CT,12,"4,627","2,409",607
2008,DC,1,"6,044","3,463",378
2008,DE,1,933,446,71
2008,FL,28,"50,158","9,769","29,434"
2008,GA,7,"19,095","4,420","10,230"
2008,GU,1,725,33,622
2008,HI,2,"6,061","1,114","3,358"
2008,IA,3,"3,346","1,018",259
2008,ID,2,"1,464",630,214
2008,IL,21,"14,724","5,660","3,244"
2008,IN,3,"7,395","3,127","1,472"
2008,KS,5,"1,738",922,238
2008,KY,3,"8,137","2,725","1,942"
2008,LA,9,"5,481","1,408","1,781"
2008,MA,21,"14,506","8,471","1,069"
2008,MD,16,"9,219","3,187","3,165"
2008,ME,3,"2,632",758,44
2008,MI,22,"28,248","7,463","16,467"
2008,MN,11,"7,644","3,101","1,374"
2008,MO,8,"7,687","3,157","2,080"
2008,MP,0,,,
2008,MS,3,"1,961",416,755
2008,MT,1,"1,417",578,410
2008,NC,13,"12,411","4,863","4,386"
2008,ND,1,615,394,19
2008,NE,7,"3,985","1,444",758
2008,NH,3,"2,019",896,484
2008,NJ,20,"13,832","7,392","1,972"
2008,NM,2,"3,015",958,"1,267"
2008,NV,3,"8,726","1,525","3,863"
2008,NY,29,"61,125","44,619","4,609"
2008,OH,9,"12,912","6,113","2,535"
2008,OK,8,"3,846","1,933","1,043"
2008,OR,8,"20,653","4,667","10,707"
2008,PA,17,"15,378","6,336","1,299"
2008,PR,2,"3,012",298,"2,202"
2008,RI,1,"1,196",734,54
2008,SC,5,"5,660","1,680","2,574"
2008,SD,1,579,269,41
2008,TN,10,"9,705","2,975","4,045"
2008,TX,18,"40,190","14,876","16,110"
2008,UT,3,"3,434","1,730",256
2008,VA,22,"8,469","3,914","1,574"
2008,VI,1,602,60,487
2008,VT,2,954,311,258
2008,WA,7,"21,954","6,319","6,498"
2008,WI,4,"5,449","2,406",515
2008,WV,4,"2,016",952,594
2008,WY,1,751,395,132
2007,AK,2,"1,642",898,255
2007,AL,8,"5,452","1,452","1,656"
2007,AR,9,"3,836","1,251","1,551"
2007,AS,0,,,
2007,AZ,3,"14,646","3,934","6,028"
2007,CA,42,"138,986","23,920","90,475"
2007,CO,3,"14,225","3,630","7,254"
2007,CT,12,"4,482","2,262",811
2007,DC,1,"5,320","3,248",340
2007,DE,1,"1,061",439,207
2007,FL,27,"48,069","8,988","27,540"
2007,GA,7,"19,639","4,267","11,298"
2007,GU,1,725,33,622
2007,HI,2,"6,070","1,039","3,358"
2007,IA,3,"2,734",852,293
2007,ID,2,"1,749",586,624
2007,IL,21,"15,487","5,913","3,316"
2007,IN,3,"7,358","2,871","1,262"
2007,KS,6,"2,111","1,172",282
2007,KY,3,"8,061","2,666","2,121"
2007,LA,9,"5,494","1,388","1,577"
2007,MA,21,"15,127","7,311","1,414"
2007,MD,16,"9,628","3,564","3,210"
2007,ME,3,"2,638",664,62
2007,MI,24,"28,295","7,325","16,743"
2007,MN,13,"7,323","2,899","1,445"
2007,MO,9,"6,247","2,969","1,110"
2007,MP,0,,,
2007,MS,3,"1,377",303,526
2007,MT,1,"1,150",502,295
2007,NC,13,"11,802","4,745","3,923"
2007,ND,1,636,405,59
2007,NE,7,"3,531","1,798",524
2007,NH,3,"2,248",725,975
2007,NJ,21,"17,314","10,095","2,478"
2007,NM,2,"3,015",958,"1,267"
2007,NV,3,"8,642","1,528","3,824"
2007,NY,32,"62,601","44,686","5,320"
2007,OH,9,"11,264","5,695","1,884"
2007,OK,8,"4,221","2,154","1,132"
2007,OR,8,"17,590","3,462","9,261"
2007,PA,17,"16,220","6,445","1,479"
2007,PR,2,"4,309",546,"2,941"
2007,RI,1,"1,372",688,49
2007,SC,5,"5,660","1,680","2,574"
2007,SD,1,579,269,41
2007,TN,10,"11,210","3,587","4,764"
2007,TX,18,"39,788","13,840","16,906"
2007,UT,3,"3,011","1,551",313
2007,VA,22,"9,746","4,323","2,179"
2007,VI,1,559,28,487
2007,VT,2,"1,035",340,315
2007,WA,8,"23,379","6,450","6,522"
2007,WI,4,"5,648","2,366",563
2007,WV,4,"2,409","1,677",262
2007,WY,1,537,272,140
